storeId;orderDate;orderId;receiptType;lineNumber;transactionReasonCode;status;salesAssociateid;itemInstanceId;lineType;barcode;currency;unitPrice;itemId;quantity;deliveryType;itemSKU;lineTotal;lineDiscount;lineTaxAmount;customerExternalId;customerId
B0502-TEST;1707296400;RPB0502-TEST-8146620000000000000;Sale;1;;Closed;XXXXX;73860388;Sale;73860388;AED;157143;31506604;1;CarryOut;73860388;0;157143;0;19E220B9-634D-E411-93FC-005056AE3E44;19E220B9-634D-E411-93FC-005056AE3E44
B0502-TEST;1635584400;RPB0502-TEST7165050000000000000;Sale;1;;Closed;XXXXX;73468075;Sale;73468075;AED;2017000;81090388;1;CarryOut;73468075;2017000;0;0;82BD76DF-7FB1-E311-93FB-005056AE3E49;82BD76DF-7FB1-E311-93FB-005056AE3E49
B0502-TEST;1652000400;RPB0502-TEST7888690000000000000;Sale;1;;Closed;XXXXX;73469418;Sale;73469418;AED;14580000;81090960;1;CarryOut;73469418;14700000;0;0;3B1FDC8B-9ECE-EC11-80F5-000D3A2436CD;3B1FDC8B-9ECE-EC11-80F5-000D3A2436CD
B0502-TEST;1638176400;RPB0502-TEST7275300000000000000;Sale;2;;Closed;XXXXX;73508567;Sale;73508567;AED;1778000;20090843;1;CarryOut;73508567;1632000;146000;0;18BCD1B1-0651-EC11-80F1-000D3A2436CD;18BCD1B1-0651-EC11-80F1-000D3A2436CD
B0502-TEST;1679821200;RPB0502-TEST9105610000000000000;Sale;1;;Closed;XXXXX;73564122;Sale;73564122;AED;964000;20090832;1;CarryOut;73564122;964000;0;0;7EB66E6A-16DE-ED11-80FC-000D3A2436CD;7EB66E6A-16DE-ED11-80FC-000D3A2436CD
B0502-TEST;1705741200;RPB0502-TEST-8214260000000000000;Sale;1;;Closed;XXXXX;73674145;Sale;73674145;AED;1425000;20090839;1;CarryOut;73674145;1425000;0;0;D5CD5F74-31B8-EE11-8103-000D3A2436CD;D5CD5F74-31B8-EE11-8103-000D3A2436CD
B0502-TEST;1647766800;RPB0502-TEST7702840000000000000;Sale;1;;Closed;XXXXX;73483006;Sale;73483006;AED;1317000;20090839;1;CarryOut;73483006;1317000;0;0;88603166-65A8-EC11-80FB-000D3A239D68;88603166-65A8-EC11-80FB-000D3A239D68
B0502-TEST;1730710800;RPB0502-TEST-7122870000000000000;Return;1;;Closed;XXXXX;73481579;Return;73481579;AED;2274000;20090853;-1;CarryOut;73481579;-2274000;0;0;F3A45F53-5F8D-EF11-8116-000D3A239D68;F3A45F53-5F8D-EF11-8116-000D3A239D68
B0502-TEST;1730710800;RPB0502-TEST-7122870000000000000;Sale;2;;Closed;XXXXX;73787579;Sale;73787579;AED;2274000;20090853;1;CarryOut;73787579;2274000;0;0;F3A45F53-5F8D-EF11-8116-000D3A239D68;F3A45F53-5F8D-EF11-8116-000D3A239D68
B0502-TEST;1729501200;RPB0502-TEST-7175050000000000000;Sale;1;;Closed;XXXXX;73481579;Sale;73481579;AED;2274000;20090853;1;CarryOut;73481579;2274000;0;0;F3A45F53-5F8D-EF11-8116-000D3A239D68;F3A45F53-5F8D-EF11-8116-000D3A239D68
B0502-TEST;1651136400;RPB0502-TEST7846390000000000000;Sale;1;;Closed;XXXXX;73524825;Sale;73524825;AED;2127000;20090853;1;CarryOut;73524825;2021000;106000;0;F820DE2B-1FC9-EC11-80F5-000D3A2436CD;F820DE2B-1FC9-EC11-80F5-000D3A2436CD
B0502-TEST;1713862800;RPB0502-TEST-7856990000000000000;Sale;1;;Closed;XXXXX;73588569;Sale;73588569;AED;2274000;20090855;1;CarryOut;73588569;2274000;0;0;E856EC65-0902-EF11-8105-000D3A2436CD;E856EC65-0902-EF11-8105-000D3A2436CD
B0502-TEST;1640595600;RPB0502-TEST7382630000000000000;Sale;1;;Closed;XXXXX;73482902;Sale;73482902;AED;149000000;81091344;1;CarryOut;73482902;92500000;56500000;0;A25F47F9-F866-EC11-80F8-000D3A239D68;A25F47F9-F866-EC11-80F8-000D3A239D68
